a	b	c	d	e	f
data\source\maps_source\石头\st_ly石头001_008_hd.mesh	25人普通持国天王殿	25392.017578125,52894.58203125,9862.0224609375	0	{1abd6203-178f-47a3-8d0f-a5508a507793}	world_object
data\source\maps_source\石头\st_ly石头001_007_hd.mesh	25人普通持国天王殿	47788.8828125,52328.484375,5801.50146484375	0	{1c0e62f2-7e52-49ac-a64d-71b27f9fa273}	world_object
data\source\maps_source\小物件\寺庙\xwj_供台套件001_002_hd.mesh	25人普通持国天王殿	8221.61328125,56941.35546875,22818.3046875	0	{1e5ee7e3-5482-4354-adc8-f6c4a253e8b6}	world_object
data\source\maps_source\小物件\石碑\wj_石碑009_hd.mesh	25人普通持国天王殿	12211.9951171875,14729.42578125,19233.857421875	0	{1f6807ae-6e9a-4a90-9374-4037bc23de1a}	world_object
data\source\maps_source\门派\少林\pj_sl低级道路001_014_hd.mesh	25人普通持国天王殿	7335.74658203125,56988.0234375,33070.17578125	0	{2a48ae73-4e7b-4fba-904b-5ea89b48752a}	world_object
data\source\maps_source\门派\天策\pj_tc道路001_004_hd.mesh	25人普通持国天王殿	15771.6435546875,56983.3203125,33890.3203125	0	{2a96833c-b3e9-4d5b-a0eb-dbb86ec056a3}	world_object
data\source\maps_source\小物件\寺庙\xwj_供台旗子001_002_hd.mesh	25人普通持国天王殿	15086.05859375,56962.98046875,25623.125	0	{2aadf25f-b046-4c68-8bf7-9601d517ecec}	world_object
data\source\maps_source\门派\少林\sl_围墙001_003_hd.mesh	25人普通持国天王殿	12699.734375,56959.9921875,30344.681640625	0	{30da1b82-fbfe-4ebf-a93c-88b03a0c1599}	world_object
data\source\maps_source\门派\少林\st_少林山石002_008_hd.mesh	25人普通持国天王殿	-1503.51708984375,56933.875,41843.65625	0	{33dd192f-6fb2-4a66-928d-9d6ce6e6106f}	world_object
data\source\maps_source\副本室内\持国天王殿\wj_dmd琵琶001_hd.mesh	25人普通持国天王殿	15368.7548828125,57236.2890625,41357.87109375	0	{38078ab0-5aea-49ab-9419-eab9a6170179}	world_object
data\source\maps_source\副本室内\持国天王殿\dm_官守区001sw_hd.mesh	25人普通持国天王殿	9889.0,56943.30078125,40732.69921875	0	{3a60a293-b7e3-425b-9441-1f175b337d7f}	world_object
data\source\maps_source\小物件\石碑\wj_石碑007_hd.mesh	25人普通持国天王殿	13794.7607421875,14691.2080078125,18614.146484375	0	{4ced10d9-0808-448d-8ad8-5a955bc23586}	world_object
data\source\maps_source\小物件\雕像\wj_sl雕像003_hd.mesh	25人普通持国天王殿	9970.400390625,57169.80078125,32716.69921875	0	{536a8148-5de9-4381-aeae-6b5ed449a86c}	world_object
data\source\maps_source\石头\st_sl路边石头001_004_hd.mesh	25人普通持国天王殿	38944.94140625,52657.546875,16826.9765625	0	{601120f0-ed13-4e76-9e71-dd16584bb1ff}	world_object
data\source\maps_source\门派\天策\pj_tc道路001_026_hd.mesh	25人普通持国天王殿	9968.400390625,56986.69921875,31573.19921875	0	{6a7af425-5bbb-44eb-bbb3-3eda1ca6574d}	world_object
data\source\maps_source\副本室内\持国天王殿\dm_官守区001sn_hd.mesh	25人普通持国天王殿	9958.482421875,56943.26953125,40784.7109375	0	{6bc0611f-943e-49b0-8ad9-0f9e10b75ebe}	world_object
data\source\maps_source\门派\天策\pj_tc道路001_006_hd.mesh	25人普通持国天王殿	3976.84765625,56983.6015625,34322.78125	0	{6e0b9d5c-61a7-41f5-89c5-b5701f323943}	world_object
data\source\maps_source\小物件\石碑\wj_石碑011_hd.mesh	25人普通持国天王殿	8841.03515625,14702.4912109375,22022.83203125	0	{6e57084d-288e-455a-8566-6d421af00980}	world_object
data\source\maps_source\副本室内\持国天王殿\dm_官守区002_hd.mesh	25人普通持国天王殿	9942.8017578125,56953.52734375,31251.494140625	0	{70e23c16-8a0e-45ce-91b6-366435d1bbef}	world_object
data\source\maps_source\小物件\室内\xwj_佛像底座001_hd.mesh	25人普通持国天王殿	9970.400390625,57005.0,32639.19921875	0	{77bb4d27-253f-486e-a594-ee4499b783cd}	world_object
data\source\maps_source\副本室内\持国天王殿\wj_dmd水池001_hd.mesh	25人普通持国天王殿	13441.2734375,57078.91796875,47924.77734375	0	{7d5ffa9a-ec8b-45db-9a2e-53daefcbe113}	world_object
data\source\maps_source\副本室内\持国天王殿\wj_dmd官守平台001_hd.mesh	25人普通持国天王殿	9931.599609375,57031.19921875,41196.3046875	0	{83486615-081a-4692-8854-89a37b23df2d}	world_object
data\source\maps_source\小物件\钟鼓\wj_大钟001_hd.mesh	25人普通持国天王殿	6340.572265625,56980.03125,30421.6953125	0	{ae8f4747-91ad-413c-8a26-0ff37c8ed3e3}	world_object
data\source\maps_source\小物件\雕像\wj_少林佛像002_hd.mesh	25人普通持国天王殿	19000.611328125,51196.265625,29473.962890625	0	{afc528ab-ec41-4416-adaf-da0f2d767ec8}	world_object
data\source\maps_source\门派\少林\sl_山门001_002_hd.mesh	25人普通持国天王殿	13051.56640625,56988.80859375,31584.033203125	0	{cdffbd30-14b9-4d17-8433-3ac0010b09c8}	world_object
data\source\maps_source\门派\少林\sl_围墙001_005_hd.mesh	25人普通持国天王殿	7212.07568359375,56975.37890625,31576.212890625	0	{f86f6372-81a5-4ba8-bbb6-61521ccca550}	world_object
data\source\maps_source\门派\蓬莱\wj_pl船001_002a_hd.mesh	25人普通敖龙岛	22758.859375,0.0,13714.5986328125	0	{5fec3d11-2618-4567-b419-04861ce37084}	world_object
data\source\maps_source\灌木\gm_pl珊瑚组001_008_hd.mesh	25人普通敖龙岛	35962.12109375,-1.6159392595291138,94637.5703125	0	{30529938-1c5c-48b6-b5c6-a15a23e0e2d9}	world_object
data\source\maps_source\建筑\jz_xkd装饰建筑001_012_hd.mesh	25人普通敖龙岛	34033.859375,2602.971923828125,77099.375	0	{8583c27f-7623-44c0-87df-f4368b53b9c4}	world_object
data\source\maps_source\建筑\jz_xkd装饰小建筑001_005_hd.mesh	25人普通敖龙岛	34930.77734375,2283.646240234375,78431.8359375	0	{fbba4f41-b619-4527-9dae-0c3e20ac11e5}	world_object
data\source\maps_source\建筑配套\pj_dxc黄石梯002_004_hd.mesh	25人普通敖龙岛	71957.015625,9248.5517578125,47793.2890625	0	{04f887f6-499e-4a70-bf74-6200c8a6dce9}	world_object
data\source\maps_source\门派\蓬莱\pj_pl平台001_007_hd.mesh	25人普通敖龙岛	57945.03125,7255.615234375,35925.24609375	0	{0b4f281f-7d13-4430-897a-2b1faf1042f8}	world_object
data\source\maps_source\门派\蓬莱\jz_pl崖壁亭子破损001_001_hd.mesh	25人普通敖龙岛	63122.46875,2807.293701171875,14401.4951171875	0	{4f2bd554-aa0d-4f6a-ac9a-9f90b0bca258}	world_object
data\source\maps_source\门派\五毒\wj_wd树根001_001_hd.mesh	25人普通敖龙岛	68563.7578125,2283.724853515625,73862.8203125	0	{0c24b75c-d72d-49f9-8744-e944bbd42579}	world_object
data\source\maps_source\小物件\雕像\wj_lxd朱雀水晶001_001_hd.mesh	25人普通敖龙岛	68293.328125,444.85052490234375,74477.09375	0	{0c842845-7dad-4eea-b3ad-84cc25ce1a35}	world_object
data\source\maps_source\门派\五毒\wj_wd树根001_008_hd.mesh	25人普通敖龙岛	65668.1328125,1228.1865234375,76242.515625	0	{19efe2a2-a16d-4a86-8c8c-5c8c96b83bb7}	world_object
data\source\maps_source\小物件\雕像\wj_lxd白虎水晶001_01_hd.mesh	25人普通敖龙岛	65808.7578125,714.5327758789062,76883.1171875	0	{2edb6aa1-f100-49b6-9e88-91f145e29b64}	world_object
data\source\maps_source\小物件\雕像\wj_lxd玄武水晶001_001_hd.mesh	25人普通敖龙岛	70439.734375,427.08782958984375,81204.1171875	0	{34163e50-3ac5-4f81-86f4-9b2d261b9136}	world_object
data\source\maps_source\小物件\寺庙\xwj_破寺庙佛柱002_hd.mesh	25人普通敖龙岛	79609.6484375,836.3327026367188,75777.75	0	{50e8d58a-f0e8-4882-8563-7efc357f2a89}	world_object
data\source\maps_source\小物件\雕像\wj_lxd青龙水晶001_001_hd.mesh	25人普通敖龙岛	72995.9296875,67.63543701171875,77187.0703125	0	{a4c1696b-d4d7-47af-b7b9-1ec3bbe82f48}	world_object
data\source\maps_source\副本室内\华清宫\wj_hqc破雕像001_hd.mesh	25人普通敖龙岛	79489.21875,777.1803588867188,75442.125	0	{c9f20ebf-fd35-413a-895c-c2f63d32b6c9}	world_object
data\source\maps_source\建筑配套\pj_qdh八卦图001_001_hd.mesh	25人普通敖龙岛	69305.34375,13667.4267578125,75008.2578125	0	{e809bc15-5724-43a2-a7f0-a0b393fbc828}	world_object
data\source\maps_source\石头\st_tm路边石002_010_hd.mesh	25人英雄会战唐门	19588.8515625,5433.19921875,32816.2734375	0	{00e8d61e-2078-47bd-abf9-a492f572c336}	world_object
data\source\maps_source\建筑配套\pj_紫竹苑廊001_001_hd.mesh	25人英雄会战唐门	34238.92578125,1604.791015625,-1697.0152587890625	0	{03dae5ff-7fad-4441-b59d-c3dc69a37b26}	world_object
data\source\maps_source\石头\st_tm路边石001_007_hd.mesh	25人英雄会战唐门	22482.16015625,3057.799560546875,36715.1171875	0	{04ce278c-5e60-44ca-b4b3-dff67f38aa5d}	world_object
data\source\maps_source\门派\唐门\jz_tm唐家堡大门底座001_001_hd.mesh	25人英雄会战唐门	-45660.28125,18872.20703125,8822.6982421875	0	{064e1a09-73f4-4cd3-866a-b64f40ad726f}	world_object
data\source\maps_source\石头\st_tm路边石002_011_hd.mesh	25人英雄会战唐门	42422.83984375,826.2642822265625,26798.658203125	0	{0b8e231e-e32e-4555-91e8-c517149936c5}	world_object
data\source\maps_source\门派\唐门\pj_tm山坡楼梯001_hd.mesh	25人英雄会战唐门	-5946.4306640625,9381.20703125,22563.748046875	0	{0c9fd04b-bce5-476e-857b-22d3628aabd4}	world_object
data\source\maps_source\石头\st_tm路边石001_005_hd.mesh	25人英雄会战唐门	18377.060546875,7726.396484375,-3439.08544921875	0	{100136cd-2c7f-459e-883f-7f73d546afb9}	world_object
data\source\maps_source\门派\唐门\pj_tm四堂001_002_hd.mesh	25人英雄会战唐门	37373.99609375,2433.982666015625,6531.49951171875	0	{11b80c8e-0a20-4be7-a4fa-a694afc44ab1}	world_object
data\source\maps_source\石头\st_tm路边石001_006_hd.mesh	25人英雄会战唐门	41506.75,941.3046875,26666.744140625	0	{19176165-a813-4b00-897c-1366fa1c8573}	world_object
data\source\maps_source\石头\st_tm路边石002_001_hd.mesh	25人英雄会战唐门	37579.12109375,1068.4345703125,55.11083984375	0	{19ec306e-c39c-4a67-ab10-56349ec8157d}	world_object
data\source\maps_source\石头\st_tm路边石001_004_hd.mesh	25人英雄会战唐门	40269.109375,1788.097900390625,35134.9453125	0	{19fbd9b4-f578-40a6-af60-d3e8e5e4fe83}	world_object
data\source\maps_source\石头\st_tm路边石002_004_hd.mesh	25人英雄会战唐门	6601.431640625,6599.40869140625,37276.390625	0	{1b53c371-8fd5-4391-a71b-1450393dbc5a}	world_object
data\source\maps_source\门派\唐门\pj_tm机关屋001_hd.mesh	25人英雄会战唐门	48960.5234375,15921.232421875,-73546.4609375	0	{1cb66f6c-7283-44af-8637-9d5a5132255f}	world_object
data\source\maps_source\石头\st_tm路边石002_009_hd.mesh	25人英雄会战唐门	-899.5405883789062,9193.986328125,34353.140625	0	{27ca1235-80df-4370-9702-519c28fa65d4}	world_object
data\source\maps_source\小物件\灯\wj_火堆001_003_hd.mesh	25人英雄会战唐门	23563.712890625,7114.474609375,3967.130859375	0	{286e4442-9cb4-4b3d-999f-d1b0a1f8346d}	world_object
data\source\maps_source\石头\st_tm路边石001_008_hd.mesh	25人英雄会战唐门	38726.25,1262.078857421875,21886.8671875	0	{2d1623f4-01ce-41af-a367-b46bfc0b8fe4}	world_object
data\source\maps_source\门派\唐门\pj_tm机关屋002a_hd.mesh	25人英雄会战唐门	46326.52734375,8025.02685546875,43085.74609375	0	{302a53d5-4112-44a8-a835-fe5d8e0df153}	world_object
data\source\maps_source\门派\唐门\jz_tm低级建筑001_002_hd.mesh	25人英雄会战唐门	25370.357421875,5485.16650390625,23434.958984375	0	{3e73a46c-10e8-4d36-b825-f01d5f16309d}	world_object
data\source\maps_source\水上物件\wj_流球小快船001a_hd.mesh	25人英雄会战唐门	44889.88671875,986.681396484375,22529.732421875	0	{3f8793f9-5592-43d4-b0a9-584026ef382b}	world_object
data\source\maps_source\石头\st_tm路边石001_003_hd.mesh	25人英雄会战唐门	40086.54296875,1232.806396484375,16605.70703125	0	{49fa24dc-4915-4114-aada-8dcdfbcee4a4}	world_object
data\source\maps_source\水上物件\wj_琉球破船002_003_hd.mesh	25人英雄会战唐门	44868.44921875,1014.892822265625,22558.583984375	0	{59adc64d-5315-431a-9f18-7b3046cad28a}	world_object
data\source\maps_source\小物件\工地物件\wj_工地物件001_015_hd.mesh	25人英雄会战唐门	20549.3828125,7056.01171875,3616.884521484375	0	{7e0f533e-55d0-4b08-a213-bcfe6a85d11d}	world_object
data\source\maps_source\建筑配套\pj_紫竹苑廊001_002_hd.mesh	25人英雄会战唐门	34240.6796875,1598.3052978515625,-530.6602783203125	0	{7f1703f3-9ad6-4a7f-a383-6d6b6cfe85dd}	world_object
data\source\maps_source\桥\q_tm大桥破001_001_hd.mesh	25人英雄会战唐门	32588.1796875,8179.6357421875,-66118.171875	0	{8f64dfb0-6bce-44fd-8396-21072c255a4e}	world_object
data\source\maps_source\门派\唐门\jz_tm唐家堡大门001_001_hd.mesh	25人英雄会战唐门	-40572.46875,25094.66796875,8235.5361328125	0	{90a7d774-609e-4dec-8ee5-768a6692c7c7}	world_object
data\source\maps_source\副本室内\会战唐门\jz_tm会战001_002_hd.mesh	25人英雄会战唐门	-64764.0,28512.93359375,16837.107421875	0	{91047ea0-78bc-4e83-9d9b-28f055ca8512}	world_object
data\source\maps_source\石头\st_tm路边石002_003_hd.mesh	25人英雄会战唐门	40217.32421875,1920.983154296875,36570.44921875	0	{b475b605-3557-4efb-94c9-5a475f6c09a7}	world_object
data\source\maps_source\门派\唐门\jz_tm唐家堡大门001_003_hd.mesh	25人英雄会战唐门	-48687.9375,25094.56640625,12962.39453125	0	{c5342568-0664-46d4-a38e-49dda04b270d}	world_object
data\source\maps_source\门派\唐门\jz_tm四堂001sw_hd.mesh	25人英雄会战唐门	38247.2265625,14048.9150390625,-65776.8515625	0	{fafb51cb-be4f-4ce3-879a-163dd3945ad8}	world_object
data\source\maps_source\桥\q_紫竹道001_001_hd.mesh	25人英雄会战唐门	38034.23046875,10761.083984375,95078.4609375	0	{03e9a081-ac47-4bc0-98c3-61757bd93c32}	world_object
data\source\maps_source\小物件\生活品\wj_武馆001_001_hd.mesh	25人英雄会战唐门	37987.05078125,10733.654296875,96726.8984375	0	{06cc1a21-0418-44f0-9e13-b00c898aa3e5}	world_object
data\source\maps_source\门派\唐门\q_tm机关桥001_001_hd.mesh	25人英雄会战唐门	29241.8203125,12679.9755859375,64374.48828125	0	{08c68610-b66e-496f-a6ac-0dcfc9c2d23d}	world_object
data\source\maps_source\门派\唐门\pj_tm四堂001_001_hd.mesh	25人英雄会战唐门	24515.349609375,23910.001953125,59758.83984375	0	{19c7679e-e167-45ca-9707-3a46041cbc30}	world_object
data\source\maps_source\门派\唐门\pj_tm走廊001_001_hd.mesh	25人英雄会战唐门	48084.60546875,5349.994140625,73345.1796875	0	{1e9ed75a-2a55-4812-96f7-8225e4392601}	world_object
data\source\maps_source\门派\唐门\jz_tm主殿001\jz_tm主殿001_002_hd.mesh	25人英雄会战唐门	33594.31640625,4292.4755859375,70151.3203125	0	{1f6d26ae-04a8-4ac0-b347-da9a2e2cfaa9}	world_object
data\source\maps_source\门派\唐门\jz_tm四堂001sn_hd.mesh	25人英雄会战唐门	23471.287109375,12753.26953125,81220.9140625	0	{26c89279-3fad-42b5-8a23-ec7d58afc30c}	world_object
data\source\maps_source\建筑配套\pj_zl战场屏风001_hd.mesh	25人英雄会战唐门	41541.875,10735.5634765625,96722.3125	0	{29fe10e7-7fb6-415d-a871-543366355d40}	world_object
data\source\maps_source\小物件\室内\wj_zb布幔001_001_hd.mesh	25人英雄会战唐门	45565.64453125,11885.1806640625,55595.4609375	0	{366d4e6c-c030-41da-b3af-ff2e1380ef88}	world_object
data\source\maps_source\门派\唐门\pj_tm走廊001_004_hd.mesh	25人英雄会战唐门	48104.25390625,5354.24365234375,75112.4921875	0	{40af41dd-7c92-44b5-a58a-c2e74f9d31aa}	world_object
data\source\maps_source\门派\唐门\jz_tm主殿001\jz_tm主殿001_004a_hd.mesh	25人英雄会战唐门	33594.31640625,4292.4755859375,70151.3203125	0	{621e4ee2-6400-4981-8d9a-916135c60326}	world_object
data\source\maps_source\副本室内\会战唐门\jz_tm会战001_001jg_hd.mesh	25人英雄会战唐门	33604.3046875,12428.0029296875,70131.6953125	0	{65fede6b-ec7a-4418-8bbe-7fd16c54d614}	world_object
data\source\maps_source\门派\唐门\pj_tm走廊001_002_hd.mesh	25人英雄会战唐门	50038.37890625,5354.24365234375,64896.97265625	0	{6ed14832-ca57-4a45-aa29-6741a47f854f}	world_object
data\source\maps_source\小物件\工地物件\wj_工地物件001_014_hd.mesh	25人英雄会战唐门	47996.11328125,5337.26611328125,67817.96875	0	{6f0e960a-19cd-495c-a832-97136ca1c948}	world_object
data\source\maps_source\副本室内\会战唐门\jz_tm会战001_001sn_hd.mesh	25人英雄会战唐门	33604.49609375,12433.3271484375,70138.765625	0	{b10701f9-f84d-4952-883f-bad90643cc26}	world_object
data\source\maps_source\门派\唐门\wj_tm冶炼炉001_hd.mesh	25人英雄会战唐门	43431.1640625,11331.1689453125,55876.625	0	{b3284098-36a5-4319-95b7-30b335408327}	world_object
data\source\maps_source\小物件\武器\xwj_南诏军事套件002_003_hd.mesh	25人英雄会战唐门	31253.560546875,10760.5302734375,94804.7109375	0	{b68c504e-135f-4a66-a912-32f27760a97b}	world_object
data\source\maps_source\门派\唐门\jz_tm主殿001\jz_tm主殿001_005_hd.mesh	25人英雄会战唐门	33715.79296875,4109.185546875,70133.5703125	0	{f54ec086-dc7c-4062-808c-d91d06b18cf1}	world_object
data\source\maps_source\小物件\木箱\wj_龙门木箱001_hd.mesh	25人英雄会战唐门	74278.453125,1155.945068359375,38453.27734375	0	{02b37636-66c0-4cf3-a2b7-d94869399fc3}	world_object
data\source\maps_source\建筑配套\pj_紫竹苑围墙001_005_hd.mesh	25人英雄会战唐门	93164.265625,1466.42578125,51141.94140625	0	{2b948009-cd14-4109-b055-fd08f9a4edfd}	world_object
data\source\maps_source\建筑\jz_y扬州码头001_004_hd.mesh	25人英雄会战唐门	76840.5625,1262.9732666015625,39144.79296875	0	{33e5690f-dba4-4dcb-a281-21c97feadb76}	world_object
data\source\maps_source\小物件\农具\wj_xn竹水车001_001a_hd.mesh	25人英雄会战唐门	94935.328125,1325.226318359375,47389.07421875	0	{73a69a75-56dd-4b70-8525-91c3fb4f884b}	world_object
data\source\maps_source\小物件\农具\wj_xn竹水车架001_hd.mesh	25人英雄会战唐门	94935.328125,1005.475341796875,48842.61328125	0	{85d173db-4010-4ef2-afcb-3311b416ff02}	world_object
data\source\maps_source\门派\流球\pj_流球码头001_005_hd.mesh	25人英雄会战唐门	70145.5625,588.197998046875,32777.34765625	0	{9e76d2d5-73b4-42e8-8979-c259b344663f}	world_object
data\source\maps_source\建筑\jz_y扬州码头001_003_hd.mesh	25人英雄会战唐门	75098.453125,975.8399658203125,36843.62890625	0	{aff69f09-8f0d-486e-ba08-8d9c19b68bb0}	world_object
data\source\maps_source\建筑配套\pj_紫竹苑围墙001_002_hd.mesh	25人英雄会战唐门	93927.078125,1466.42578125,51141.94140625	0	{f2a02dd7-9db0-4009-83db-c4325cecb7ed}	world_object
data\source\maps_source\门派\唐门\pj_tm唐家堡围墙002_001_hd.mesh	25人英雄会战唐门	72857.765625,4583.4365234375,62857.25390625	0	{00562075-eb09-4917-b82c-439ca8aa105f}	world_object
data\source\maps_source\门派\唐门\pj_tm唐家堡围墙001_001_hd.mesh	25人英雄会战唐门	79631.296875,4609.92431640625,57395.40234375	0	{00fb00af-f45c-4077-b691-87895c79df3c}	world_object
data\source\maps_source\门派\唐门\jz_tm低级建筑001_003_hd.mesh	25人英雄会战唐门	83950.0625,6050.63525390625,69708.2265625	0	{0382c02f-0b83-4fcf-8728-9af691bc4962}	world_object
data\source\maps_source\门派\唐门\pj_tm低级建筑001_002_hd.mesh	25人英雄会战唐门	75865.3125,6157.3134765625,60253.05859375	0	{0f1f47b7-2805-48d2-bf6d-3901081aa949}	world_object
data\source\maps_source\门派\唐门\pj_tm低级建筑围墙001_005_hd.mesh	25人英雄会战唐门	76170.5,5936.18310546875,64779.14453125	0	{0f355763-749a-4c97-808a-bd82aaf58bc2}	world_object
data\source\maps_source\门派\唐门\pj_tm低级建筑围墙001_001_hd.mesh	25人英雄会战唐门	74776.46875,5895.67529296875,57387.3359375	0	{12f38f45-77a2-4b77-b291-0b2775a1e797}	world_object
data\source\maps_source\门派\唐门\pj_tm低级建筑围墙001_002_hd.mesh	25人英雄会战唐门	83942.28125,6039.88232421875,62907.94921875	0	{32451476-e37a-48d9-b36c-366e833411de}	world_object
data\source\maps_source\建筑配套\pj_紫竹苑围墙001_006_hd.mesh	25人英雄会战唐门	90738.59375,7457.9912109375,70413.921875	0	{3a1ec302-60ee-42c4-bf3e-68bb5bd9727b}	world_object
data\source\maps_source\门派\唐门\pj_tm低级建筑围墙001_004_hd.mesh	25人英雄会战唐门	84153.046875,6039.88232421875,70871.8125	0	{3bfe7666-4e85-4c36-88a5-d28c940e7c0a}	world_object
data\source\maps_source\建筑\jz_z驿站配001_01_hd.mesh	25人英雄会战唐门	88052.234375,7598.65673828125,72061.78125	0	{3d9662b0-2a73-4661-b02a-5f8b7a446ace}	world_object
data\source\maps_source\门派\唐门\pj_tm唐家堡围墙001_003_hd.mesh	25人英雄会战唐门	82143.125,4618.26171875,57998.34765625	0	{43961837-c01e-4f2a-b3d1-0e090d488a9e}	world_object
data\source\maps_source\门派\唐门\pj_tm低级建筑001_003_hd.mesh	25人英雄会战唐门	73589.625,6963.13525390625,60848.83984375	0	{464839f2-fc66-4199-8d12-636545fd8c72}	world_object
data\source\maps_source\石头\st_tm路边石002_002_hd.mesh	25人英雄会战唐门	98824.1171875,10640.8349609375,68077.015625	0	{46c2ad52-2135-4f2c-bbf7-66ab89e58b45}	world_object
data\source\maps_source\建筑\jz_紫竹苑004_hd.mesh	25人英雄会战唐门	94197.140625,1357.2283935546875,53182.48828125	0	{4947cd09-e2ae-41b4-b7c9-963ecfd4b227}	world_object
data\source\maps_source\石头\st_tm路边石002_008_hd.mesh	25人英雄会战唐门	94503.921875,10709.390625,74189.3203125	0	{53cc52f9-17c2-4551-95e5-d29e7921c535}	world_object
data\source\maps_source\亭塔\t_紫竹凉亭001_hd.mesh	25人英雄会战唐门	99340.53125,1772.3106689453125,52096.91015625	0	{5c6a4f3a-be0a-43f3-9d1a-69a16f19fe74}	world_object
data\source\maps_source\门派\唐门\jz_tm低级建筑001_001_hd.mesh	25人英雄会战唐门	78794.9375,6049.12158203125,61484.71484375	0	{6619e3c9-d9c5-42ec-b05f-257954ebb30f}	world_object
data\source\maps_source\门派\唐门\jz_tm中级建筑001_001sw_hd.mesh	25人英雄会战唐门	80245.8359375,6104.5673828125,70002.2890625	0	{75d8b173-416d-47e6-bb7c-8f8d86aaa48c}	world_object
data\source\maps_source\建筑配套\pj_紫竹苑围墙001_003_hd.mesh	25人英雄会战唐门	93047.53125,1447.0638427734375,52762.71484375	0	{7af2e69e-bec2-4221-8681-4230eabcfbac}	world_object
data\source\maps_source\建筑配套\pj_紫竹苑围墙001_009_hd.mesh	25人英雄会战唐门	89958.984375,7495.34716796875,70147.375	0	{84030579-4f6a-4167-89e6-44b93bcbfc2c}	world_object
data\source\maps_source\门派\唐门\pj_tm唐门货摊001_002_hd.mesh	25人英雄会战唐门	81686.9375,6037.85888671875,60227.78515625	0	{96c6217c-a123-4c33-a716-faea40ae9ebf}	world_object
data\source\maps_source\门派\唐门\pj_tm唐门货摊001_001_hd.mesh	25人英雄会战唐门	81649.46875,6033.93603515625,61807.09765625	0	{d11f7468-a6de-489e-802a-04b9c07cce36}	world_object
data\source\maps_source\门派\唐门\pj_tm低级建筑001_001a_hd.mesh	25人英雄会战唐门	82302.25,6119.23876953125,69261.3828125	0	{dbf05b0c-044d-4907-8bd2-ab46c22b723d}	world_object
data\source\maps_source\门派\唐门\jz_tm唐家堡侧门001_001_hd.mesh	25人英雄会战唐门	83969.25,5981.6689453125,65485.65234375	0	{e741cef5-5988-4a86-9953-9b82711ffa26}	world_object
data\source\maps_source\建筑\jz_废墟断壁001_002_hd.mesh	25人英雄烛龙殿	13253.1748046875,-76.76904296875,23021.166015625	0	{03399426-997f-4e02-8028-8fc0b146f480}	world_object
data\source\maps_source\石头\sl_cs阶梯002_002_hd.mesh	25人英雄烛龙殿	40504.9609375,14766.04296875,38320.89453125	1	{04712177-c2f5-43b2-b158-e2f68f2012fe}	world_object
data\source\maps_source\副本室内\烛龙殿\wj_zld龙头柱001_002_hd.mesh	25人英雄烛龙殿	45254.35546875,22891.466796875,20110.333984375	0	{04977875-19e4-413e-97a1-929dc816dfdb}	world_object
data\source\maps_source\副本室内\烛龙殿\pj_zld龙门001_hd.mesh	25人英雄烛龙殿	35597.87890625,11330.904296875,51043.16796875	0	{07dbda47-e986-4030-8c0b-6f31f4dd0364}	world_object
data\source\maps_source\副本室内\烛龙殿\wj_zld龙头001_001_hd.mesh	25人英雄烛龙殿	45188.66796875,22877.2109375,11466.6943359375	0	{08248455-e3fb-40eb-8201-85ad3aca3465}	world_object
data\source\maps_source\门派\五毒\wd_石板001_01_hd.mesh	25人英雄烛龙殿	41109.671875,11295.033203125,50732.484375	0	{0e3ce424-1f5d-41c5-ae59-32dbae478e0d}	world_object
data\source\maps_source\副本室内\烛龙殿\wj_zld石柱001_003_hd.mesh	25人英雄烛龙殿	23566.705078125,-11154.6865234375,42491.91015625	0	{1617d513-d386-4d89-bf61-d14182bd002e}	world_object
data\source\maps_source\建筑配套\pj_xn灵王墓围墙001_001_hd.mesh	25人英雄烛龙殿	48897.2421875,21943.5234375,27338.6015625	0	{179fc52e-944a-49ad-906f-9552be77fb73}	world_object
data\source\maps_source\门派\五毒\wd_祝融神殿废墟001_002_hd.mesh	25人英雄烛龙殿	-9545.94921875,15730.580078125,-11816.0380859375	0	{18e07422-4663-416d-90a6-7c444e2d72a9}	world_object
data\source\maps_source\副本室内\烛龙殿\wj_zld栏杆001_004_hd.mesh	25人英雄烛龙殿	24334.45703125,-10526.8935546875,46992.203125	0	{1f523246-6475-43cb-af16-a742db55cad3}	world_object
data\source\maps_source\副本室内\烛龙殿\pj_zld侧门001_hd.mesh	25人英雄烛龙殿	36570.48828125,22851.248046875,23166.826171875	0	{249b4f95-5423-4945-8831-bb807c14e751}	world_object
data\source\maps_source\副本室内\烛龙殿\q_zld石桥001_002_hd.mesh	25人英雄烛龙殿	34970.515625,11890.251953125,51018.98828125	0	{2669b69b-8042-4fb1-83eb-869ac756366d}	world_object
data\source\maps_source\副本室内\烛龙殿\wj_zld石柱001_002_hd.mesh	25人英雄烛龙殿	7504.43994140625,-13101.9794921875,49587.06640625	0	{2677d5a4-b187-4093-aae9-1f75e71aa01f}	world_object
data\source\maps_source\门派\五毒\wd_石板001_002_hd.mesh	25人英雄烛龙殿	39321.125,11307.1396484375,51084.43359375	0	{2e73c4a5-7b8a-4221-aeb7-19455c4bfb30}	world_object
