ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap	MaxCastleVIPPlayerCount	CanJoinCastleVIPQueue	BanTradeItemMask	CanTradeMoney	BanEquipItemMask	CanExistItemMask	IsBattlefield	IsDungeonRoleProgressMap
122	唐门	唐门	100	1	2	0	1	0	1	0	1	1800	1500	10	0	0	0	4	1	0	0	0	0	0	0	data\source\maps\唐门\唐门.jsonmap	0	1024	0	2705	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
123	低级唐门密室	唐门密室	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\唐门密室\唐门密室.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	20	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
125	唐门密室	英雄唐门密室	100	2	4	0	0	1	256	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\唐门密室\唐门密室.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
126	神剑冢	神剑冢	100	2	6	0	0	1	256	0	1	25	10	10	0	1440	420	0	0	1	0	131	0	0	0	data\source\maps\神剑冢\神剑冢.jsonmap	0	0	1		1	1	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
127	天山碎冰谷	天山碎冰谷	100	4	1	0	0	2	2048	0	1	1024		2	0	0	0		0	0	0	8	2	0	0	data\source\maps\天山碎冰谷\天山碎冰谷.jsonmap	0	0	0		4	0	0		0	0	1	0	1	0	0		8	0	1	0	1		1	0	0	0	0	4	0				2	0	1	0		
128	乐山大佛窟	乐山大佛窟	100	4	1	0	0	2	2048	0	1	1024		2	0	0	0		0	0	0	8	2	0	0	data\source\maps\乐山大佛窟\乐山大佛窟.jsonmap	0	0	0		4	0	0		0	0	1	0	1	0	0		8	0	1	0	1		1	0	0	0	0	4	0				2	0	1	0		
129	华山之巅	华山之巅	100	4	1	0	0	2	2048	0	1	1024		2	0	0	0		0	0	0	8	2	0	0	data\source\maps\华山之巅\华山之巅.jsonmap	0	0	0		4	0	0		0	0	1	0	1	0	0		8	0	1	0	1		1	0	0	0	0	4	0				2	0	1	0		
135	三国古战场	三国古战场	100	4	1	0	0	2	2048	0	1	1024		2	0	0	0		0	1	0	0	2	0	0	data\source\maps\三国古战场\三国古战场.jsonmap	0	0	0		4	1	0		0	0	0	0	0	0	0		8	0	1	1	1		1	0	0	0	0	2	0				2	0	1	0		
137	大漠楼兰	大漠楼兰	100	4	1	0	0	2	2048	0	1	1024		2	0	0	0		0	1	0	8	2	0	0	data\source\maps\大漠楼兰02\大漠楼兰02.jsonmap	0	0	0		4	1	0		0	0	1	0	1	0	0		8	0	1	0	1		1	0	0	0	0	4	0				2	0	1	0		
144	试炼秘境2	归墟秘境	100	2	2	0	0	1	4096		1	2		1	1	0			0	0	0	32	0	0	0	data\source\maps\试炼秘境2\试炼秘境2.jsonmap	0	0	1		1	0	0	0	0	0	2	0	0	0	0		32	1	0	0			1	0	0	0	0	1	0									
186	冷香丘	浮香丘	100	4	5	0	0	2	512		1	54		2	0	0	0		0	1	0	0	2	160	0	data\source\maps\冷香丘\冷香丘.jsonmap	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0									
296	龙门寻宝	龙门绝境	100	4	5	0	0	2	512		1	108		2	0	0	0		0	1	0	512	2	160	0	data\source\maps\龙门寻宝\龙门寻宝.jsonmap	0	0	0		5	0	0		0	0	4	0	0	0	0		8	0	1	1			1	0	0	0	0	2	0				4	0	2	1	1	
500	512性能测试	512性能测试	100	3	4	0	0	1	32	0	1	16		10	1	0	0		1	1	5	0	0	0	0	data\source\maps\512性能测试\512性能测试.jsonmap	0	16	0		1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0		
995	八荒衡鉴_仙踪林	八荒衡鉴_仙踪林	100	2	6	0	1	1	1024	0	1	3		2	1	4320	420	0	0	1	0	130	0	0	0	data\source\maps\八荒衡鉴_仙踪林\八荒衡鉴_仙踪林.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	120	131	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
996	剑湖宫	剑湖宫	100	2	6	0	1	1	1024	0	1	10		10	1	4320	420	1	0	1	0	128	0	0	0	data\source\maps\剑湖宫\剑湖宫.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	120	131	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
997	10人挑战剑湖宫	10人挑战剑湖宫	100	2	6	0	1	1	1024	0	1	10		10	1	10080	6180	1	0	1	0	128	0	0	0	data\source\maps\剑湖宫\剑湖宫.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	240	131	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
998	25人英雄剑湖宫	25人英雄剑湖宫	100	2	6	0	1	1	256	0	1	25		10	1	10080	6180	0	0	1	0	128	0	0	0	data\source\maps\剑湖宫\剑湖宫.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	240	131	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
999	尚武遗迹	尚武遗迹	100	4	6	0	0	1	1024	0	1	50		2	1	10080	6180	0	0	1	0	128	0	0	0	data\source\maps\尚武遗迹\尚武遗迹.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	240	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		1
1000	大梦迷境	大梦迷境	100	2	4	0	0	1	512	0	1	5	10	10	1	1440	420	0	0	1	5	3	0	0	0	data\source\maps\大梦迷境\大梦迷境.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				1	1	1	0		
